"编号","模块","TC描述","前置条件","测试步骤","预期结果","优先级","测试状态","关联测试文件","","","","","","","","","","",""
"026","多租户-租户切换","平台管理员调用退出租户方法（exitTenant），回到全局视角","当前处于某个租户下（currentTenantId=某租户），是平台管理员（isPlatformAdmin=true）","1.调用退出租户方法（exitTenant）","调用退出租户接口（exitTenantApi），回到不在任何租户下的状态（currentTenantId=null），「可进入的租户列表」缓存（enterableTenants）清空，跳转到租户管理页（/tenants）","P0","通过","useTenantActions.test.tsx","","","","","","","","","","",""
"027","多租户-租户切换","退出租户接口（exitTenantApi）失败时的处理","当前处于某租户下（currentTenantId=某租户），退出租户接口（exitTenantApi）模拟失败（mock reject）","1.调用退出租户方法（exitTenant）并捕获异常","登录凭证停留原租户空间并提示错误，不出现登录凭证/租户不一致的中间状态","P1","通过","useTenantActions.test.tsx","","","","","","","","","","",""
"028","多租户-租户切换","切换租户接口（switchTenantApi）失败时的处理","当前处于租户A下（currentTenantId=A），切换租户接口（switchTenantApi）模拟失败（mock reject）","1.调用切换租户方法（switchTenant(B)）并捕获异常","提示错误、状态回滚至租户A，不残留半切换状态","P1","通过","useTenantActions.test.tsx","","","","","","","","","","",""
"029","多租户-租户切换","进入租户方法（enterTenant）成功但后续刷新路由权限方法（reloadRoutes）失败","退出/进入接口（exit/enter）模拟成功，刷新路由权限方法（reloadRoutes）失败","1.调用进入租户方法（enterTenant）\n2.捕获异常","仍处于目标租户但路由降级（允许访问的路由列表 allowedRoutes 保持旧值或为空），可重试，不崩溃","P2","通过","useTenantActions.test.tsx","","","","","","","","","","",""
"030","多租户-租户切换","进入租户方法（enterTenant）全局视角下，拉取全部启用租户接口（listTenants）失败时沿用已有缓存","当前不在任何租户下（currentTenantId=null），「可进入的租户列表」缓存（enterableTenants）已有数据","1.调用进入租户方法（enterTenant）且拉取全部启用租户接口（listTenants）模拟失败","不因拉取全部启用租户接口（listTenants）失败而中断，沿用已有缓存继续进入租户","P1","通过","useTenantActions.test.tsx","","","","","","","","","","",""
"031","多租户-切换器UI","租户切换器组件（TenantSwitcher）仅对「租户空间内的平台管理员」显示，全局视角及租户用户均隐藏","当前不在任何租户下（currentTenantId=null）【全局视角】，或当前处于某租户下（currentTenantId=某租户）且不是平台管理员（isPlatformAdmin=false）","1.分别渲染上述两种场景的布局","两种场景下切换器组件均不渲染","P1","通过","TenantSwitcher.test.tsx","","","","","","","","","","",""
"032","多租户-切换器UI","平台管理员在租户空间内，租户切换器组件（TenantSwitcher）显示「返回租户管理」入口和可进入的租户列表","当前处于某个租户下（currentTenantId=某租户），是平台管理员（isPlatformAdmin=true）","1.渲染整体布局并展开下拉菜单","下拉菜单含「返回租户管理」选项和「可进入的租户列表」（enterableTenants）","P1","通过","TenantSwitcher.test.tsx","","","","","","","","","","",""
"033","多租户-切换器UI","「可进入的租户列表」缓存（enterableTenants）为空时，切换器下拉的兜底","当前处于某租户下（currentTenantId=某租户），「可进入的租户列表」缓存（enterableTenants）为空数组","1.展开切换器下拉","仅显示「返回租户管理」兜底项，不崩溃、不出现空白","P2","通过","TenantSwitcher.test.tsx","","","","","","","","","","",""
"034","多租户-切换器UI","切换器点击防重、加载中（loading）遮罩及抛错后复位","处于租户空间，是平台管理员（isPlatformAdmin=true）","1.点击进入租户并连续点击\n2.模拟动作抛错","点击期间加载中（loading）遮罩防重；抛错后加载中（loading）状态复位，可再次操作","P1","通过","TenantSwitcher.test.tsx","","","","","","","","","","",""
"035","多租户-侧边栏","全局视角侧边栏只展示租户管理菜单项","当前不在任何租户下（currentTenantId=null）","1.渲染应用整体布局组件（AppLayout）","菜单仅含'租户管理'一项，不含其他业务菜单","P1","通过","AppLayout.test.tsx","","","","","","","","","","",""
"036","多租户-侧边栏","租户空间内按允许访问的路由列表（allowedRoutes）动态过滤业务菜单分组","当前处于某租户下（currentTenantId=某租户），允许访问的路由列表（allowedRoutes）含部分路径","1.渲染应用整体布局组件（AppLayout）","仅展示路由权限判断方法（hasRoute）返回「有权限」的菜单分组/子项","P1","通过","AppLayout.test.tsx","","","","","","","","","","",""
"037","多租户-侧边栏","后端按功能配置（featureConfig）收敛路由后，前端仅渲染允许访问的路由列表（allowedRoutes）内菜单","当前处于某租户下（currentTenantId=某租户），功能配置（featureConfig）开启部分功能","1.渲染侧边栏","菜单与后端按功能配置（featureConfig）收敛后的拉取用户路由接口（getUserRoutes）结果一致（功能配置不直接在前端过滤，由后端驱动）","P0","通过","AppLayout.test.tsx","","","","","","","","","","",""
"038","多租户-Store持久化","全局状态（store）持久化时选取的字段（partialize）包含租户相关字段，但不包含「路由是否已加载完成」（routesLoaded）","无","1.触发状态持久化\n2.检查持久化的数据内容","持久化内容含当前所在租户ID、租户名称、平台管理员标识、我的租户列表、可进入的租户列表（currentTenantId/tenantName/isPlatformAdmin/myTenants/enterableTenants），不含「路由是否已加载完成」（routesLoaded）","P2","通过","store.test.ts","","","","","","","","","","",""
"040","多租户-Store持久化","刷新页面后从持久化恢复租户状态，且路由重新拉取","已进入某租户","1.刷新页面","恢复当前所在租户ID（currentTenantId）/租户名称（tenantName）等；「路由是否已加载完成」（routesLoaded）为false，允许访问的路由列表（allowedRoutes）重新拉取，不残留旧租户路由","P1","通过","store.test.ts","","","","","","","","","","",""
"042","多租户-会话与异常边界","进入租户方法（enterTenant）的目标是当前所在租户本身时的行为","当前处于租户A下（currentTenantId=A）","1.调用进入租户方法（enterTenant），传入租户A（即当前租户）","按预期行为：有幂等处理，不产生多余的退出/进入（exit/enter）往返调用，不报错（仅记录预期行为，当前实现未保证幂等）","P2","通过","useTenantActions.test.tsx","","","","","","","","","","",""
"043","多租户-会话与异常边界","租户切换时网络超时/断开","网络异常","1.调用进入租户方法（enterTenant）/切换租户方法（switchTenant）","有明确的错误提示，加载中（loading）状态不卡死","P0","通过","useTenantActions.test.tsx","","","","","","","","","","",""
"044","多租户-会话与异常边界","恢复持久化状态（rehydrate）后旧会话登录凭证已失效的处理","持久化中存在旧租户会话","1.刷新页面恢复状态\n2.用失效登录凭证访问","识别会话失效并清理，不误判为平台管理员/租户用户","P1","通过","store.test.ts / ProtectedRoute.test.tsx","","","","","","","","","","",""
"045","多租户-会话与异常边界","切换器连点两个租户的竞态","处于租户空间，是平台管理员（isPlatformAdmin=true）","1.展开切换器快速连点租户B、租户C","加载中（loading）防重，最终进入最后点击目标，无中间态","P2","通过","TenantSwitcher.test.tsx","","","","","","","","","","",""
"046","多租户-租户管理","租户列表展示、搜索防抖与分页","平台管理员，已存在多条租户记录","1.打开租户管理页\n2.输入关键字搜索\n3.切换分页","列表按关键字过滤且搜索防抖；分页参数正确传递；禁用/到期租户有状态标识","P0","通过","TenantManagementPage.test.tsx","","","","","","","","","","",""
"047","多租户-租户管理","创建租户表单校验（code格式/必填/管理员账号）","打开新建租户侧边浮层（Drawer）","1.留空必填项提交\n2.输入非法code（大写开头/特殊字符）\n3.提交合法信息","非法code提示格式错误（小写字母开头、字母数字连字符）；必填校验拦截；创建成功侧边浮层（Drawer）关闭、列表刷新、提示成功","P0","通过","TenantFormDrawer.test.tsx","","","","","","","","","","",""
"048","多租户-租户管理","创建租户后可用租户管理员账号（adminAccount/adminPassword）登录","刚创建租户（含管理员账号 adminAccount/密码 adminPassword）","1.退出登录\n2.用租户管理员账号登录","登录成功且进入该租户空间，身份为租户管理员（无平台级权限）","P0","通过","端到端","","","","","","","","","","",""
"049","多租户-租户管理","启用/停用租户（启用必填到期时间）","租户列表含启用/停用状态的租户","1.停用某租户并二次确认\n2.对停用租户执行启用（含/不含到期时间）","停用调用状态接口成功并更新展示；启用不填到期时间被拦截；启用成功更新展示","P0","通过","TenantManagementPage.test.tsx","","","","","","","","","","",""
"050","多租户-租户管理","删除租户（仅停用可删、二次确认、级联清理）","存在停用租户与启用租户","1.对启用租户点删除\n2.对停用租户点删除并确认","启用租户删除按钮禁用；停用租户二次确认后删除成功、列表刷新","P1","通过","TenantManagementPage.test.tsx","","","","","","","","","","",""
"051","多租户-租户管理","到期自动停用兜底","存在已到/超过到期时间的租户","1.加载租户列表\n2.检查到期租户状态","到期租户展示为停用状态且有到期标识，进入按钮禁用（FR-1.4）","P0","通过","TenantManagementPage.test.tsx","","","","","","","","","","",""
"052","多租户-租户管理","功能配置抽屉（featureConfig）加载与保存","打开某租户的功能配置侧边浮层（Drawer）","1.查看功能勾选分组\n2.修改勾选并保存","分组与勾选态与接口一致；保存提交修改后的功能配置（featureConfig）payload；成功后提示并刷新","P0","通过","TenantFeatureDrawer.test.tsx","","","","","","","","","","",""
"053","权限-账号管理","账号列表分页查询与搜索","已进入某租户空间","1.打开账号管理页\n2.输入搜索关键字\n3.切换分页","列表按关键字过滤，分页参数正确传递给接口","P0","通过","AccountManagementPage.tsx","","","","","","","","","","",""
"054","权限-账号管理","新建账号表单校验与提交","打开新建账号侧边浮层（Drawer）","1.留空必填项提交\n2.填写完整信息提交","留空时表单校验拦截；完整提交后调用创建接口，成功后侧边浮层（Drawer）关闭、列表刷新、并提示成功","P0","通过","AccountManagementPage.tsx","","","","","","","","","","",""
"055","权限-账号管理","编辑已有账号信息并保存","列表中存在账号记录","1.点击编辑\n2.修改字段\n3.保存","调用更新接口，成功后提示更新成功并刷新列表","P0","通过","AccountManagementPage.tsx","","","","","","","","","","",""
"056","权限-账号管理","冻结/解冻账号状态切换","列表中存在启用状态的账号","1.点击冻结操作并二次确认\n2.点击解冻操作并二次确认","分别调用状态切换接口，成功后提示对应文案（账号已冻结/已解冻）并刷新","P1","通过","AccountManagementPage.tsx","","","","","","","","","","",""
"057","权限-账号管理","将账号移出当前租户","列表中存在账号记录","1.点击'移出租户'并二次确认","调用移除接口，成功提示'已将该成员移出租户'，列表刷新","P1","通过","AccountManagementPage.tsx","","","","","","","","","","",""
"058","权限-账号管理","批量导入账号（含部分失败场景）","准备导入文件","1.上传导入文件并提交\n2.模拟接口返回部分成功部分失败","全部成功时提示'导入成功N条'；部分失败时提示'成功N条、失败M条'的警告文案","P1","通过","AccountManagementPage.tsx","","","","","","","","","","",""
"059","权限-账号管理","导出账号数据","已进入某租户空间","1.点击导出并确认","调用导出接口，成功后提示'导出成功'并触发下载","P2","通过","AccountManagementPage.tsx","","","","","","","","","","",""
"061","权限-业务标签","创建/管理业务标签，及为账号分配标签","打开标签管理弹窗（Modal）/分配标签弹窗（Modal）","1.新建标签\n2.为某账号分配/取消标签","标签成功创建并出现在列表；分配结果正确保存并在账号列表标签列展示","P1","通过","TagManagerModal.tsx / AssignTagModal.tsx","","","","","","","","","","",""
"063","消费者管理","创建消费者","无","1.点击创建消费者\n2.填写表单并提交","调用新建接口（数据版本号version初始为0），成功后提示'消费者已创建'，侧边浮层（Drawer）关闭并刷新列表","P0","通过","ConsumerListPage.tsx","","","","","","","","","","",""
"064","消费者管理","编辑已有消费者并保存（携带数据版本号version做乐观锁校验）","列表中存在消费者记录","1.点击编辑\n2.修改并保存","调用更新接口时携带原记录的数据版本号（version）用于乐观锁校验，成功后提示'消费者已更新'","P0","通过","ConsumerListPage.tsx","","","","","","","","","","",""
"065","消费者管理","删除消费者二次确认","列表中存在消费者记录","1.点击删除并二次确认","调用删除接口，成功提示'删除成功'，列表刷新","P1","通过","ConsumerListPage.tsx","","","","","","","","","","",""
"066","消费者管理","分页切换每页条数（pageSize）时页码（page）重置为1","当前页码（page）大于1","1.在非首页时修改每页条数（pageSize）","页码（page）自动重置为1，避免落在不存在的大页码","P2","通过","ConsumerListPage.tsx","","","","","","","","","","",""
"067","服务来源管理","服务来源列表分页与新建/编辑侧边浮层（Drawer）","无","1.打开服务来源列表\n2.新建/编辑一条记录并保存","新建成功提示'服务来源创建成功'，编辑成功提示'服务来源编辑成功'，保存失败提示'操作失败，请重试'","P0","通过","ServiceSourceListPage.tsx","","","","","","","","","","",""
"068","服务来源管理","删除服务来源","列表中存在记录","1.点击删除并二次确认","调用删除接口成功后提示'服务来源删除成功'；失败提示'删除失败，请重试'","P1","通过","ServiceSourceListPage.tsx","","","","","","","","","","",""
"069","服务来源管理","代理服务器管理弹窗（Modal）内新建/编辑/删除代理服务器","打开代理服务器管理弹窗（Modal）","1.新建代理服务器\n2.编辑现有代理服务器\n3.删除代理服务器并确认","各操作正确更新弹窗（Modal）内列表状态，并将「弹窗内是否有未保存改动」标记（changesMadeInProxyServerModal）置为true","P1","通过","ServiceSourceListPage.tsx","","","","","","","","","","",""
"070","服务来源管理","关闭代理服务器弹窗（Modal）时若有未保存改动需二次确认","「弹窗内是否有未保存改动」标记（changesMadeInProxyServerModal=true）","1.点击关闭弹窗（Modal）","弹出二次确认提示，确认后才真正关闭，避免误丢改动","P2","通过","ServiceSourceListPage.tsx","","","","","","","","","","",""
"071","多租户-租户隔离","租户A新建/操作账号，租户B不可见且无影响","已进入租户A，账号管理页可新建","1.在租户A新建账号并编辑/冻结/移出\n2.切换到租户B检查","租户B账号列表不含A新建的账号（后端按租户隔离）；A的编辑/冻结/移出不影响B","P0","通过","后端集成","","","","","","","","","","",""
"073","多租户-租户隔离","租户A创建/分配标签，租户B不可见","已进入租户A，标签管理可用","1.在租户A新建标签并为账号分配\n2.切换到租户B检查","租户B标签列表不含A的标签，分配关系隔离","P1","通过","后端集成","","","","","","","","","","",""
"074","多租户-租户隔离","租户A创建/编辑/删除消费者，租户B不可见且无影响","已进入租户A，消费者页可新建","1.在租户A创建/编辑/删除消费者\n2.切换到租户B检查","租户B消费者列表不含A创建的；A操作不影响B（数据独立）","P0","通过","后端集成","","","","","","","","","","",""
"075","多租户-租户隔离","租户A新建服务来源/代理服务器，租户B不可见","已进入租户A，服务来源页可新建","1.在租户A新建服务来源和代理服务器\n2.切换到租户B检查","租户B服务来源/代理服务器列表不含A创建的","P0","通过","后端集成","","","","","","","","","","",""
"076","多租户-租户隔离","租户A创建 Skill/Agent/卡片，租户B不可见","已进入租户A，资源中心页面可用","1.在租户A创建 Skill/Agent/卡片\n2.切换到租户B检查列表","租户B资源列表不含A创建的资源","P0","通过","后端集成","","","","","","","","","","",""
"077","多租户-租户隔离","租户A创建术语/规则/业务实体，租户B不可见","已进入租户A，效果调优页面可用","1.在租户A创建术语/规则/业务实体\n2.切换到租户B检查列表","租户B列表不含A创建的记录（术语/规则/实体按租户隔离）","P0","通过","后端集成","","","","","","","","","","",""
"078","多租户-租户隔离","租户A创建工作台/应用，租户B不可见","已进入租户A，应用管理/工作台页可用","1.在租户A创建工作台和应用\n2.切换到租户B检查列表","租户B工作台/应用列表不含A创建的","P0","通过","后端集成","","","","","","","","","","",""
"079","多租户-租户隔离","进入租户后无租户管理入口，全局功能受限","已进入某租户","1.进入租户后查看菜单/访问租户管理","侧边栏无租户管理入口；访问 /admin/tenants 相关路径返回无权限","P0","通过","后端集成","","","","","","","","","","",""
"080","多租户-租户隔离","跨租户创建同名分类/标签/应用/工作台/Skill不冲突，同租户内重名报错","租户A、租户B均可用","1.在租户A创建分类「测试」\n2.在租户B创建同名分类\n3.在租户A再次创建同名分类","A/B同名创建均成功（租户内唯一）；A内重复创建被拦截并提示","P0","通过","后端集成+前端各模块表单","","","","","","","","","","",""
"082","多租户-租户隔离","MCP name 全局唯一：跨租户同名被拒","租户A已建 MCP「X」","1.租户B创建同名 MCP「X」\n2.观察前端反馈","创建被数据库（DB）拒绝，前端给出明确'名称已存在'类提示（已知限制）","P1","通过","后端集成+Mcp表单","","","","","","","","","","",""
"083","多租户-租户隔离","平台管理员进入租户后，功能配置（featureConfig）关闭模块的接口返回40300","已进入某租户，某功能功能配置（featureConfig）关闭","1.访问关闭模块的菜单\n2.直接调用关闭模块接口","菜单隐藏；接口返回40300（功能配置生效）","P0","通过","后端集成+前端","","","","","","","","","","",""
"084","后端/集成","端到端：admin登录 → 创建租户 → 租户管理员登录 → 数据隔离全链路","平台管理员已登录","1.创建租户\n2.用租户管理员账号登录\n3.跨租户互查","租户管理员仅见本租户数据；平台管理员可见全部","P0","通过","TenantManagementIntegrationTest","","","","","","","","","","",""
"085","后端/集成","管理员作用域令牌（adminScoped token）调用 /admin/tenants 返回40300","平台管理员已进入租户","1.用管理员作用域令牌（adminScoped token）调 /admin/tenants/feature-keys 等","返回40300（预期行为，前端须用系统登录凭证调用平台级接口）","P0","通过","AuthInterceptorTenantTest","","","","","","","","","","",""
"086","后端/集成","默认租户回填 + 存量数据 tenant_id","完成首次启动","1.抽查 agent_app_config/category/rule\n2.平台管理员查看","默认租户存在、存量数据回填到默认租户、无残留全局email唯一索引","P0","通过","DataInitializer集成","","","","","","","","","","",""
"088","后端/集成","带租户登录凭证检索规则/术语/实体仅本租户","Milvus 已含 tenant_id 字段","1.租户A/B分别检索\n2.平台管理员检索","结果仅含当前租户数据；管理员可见全部；无持续FAILED同步","P0","通过","集成/vector sync","","","","","","","","","","",""
"089","后端/集成","评估记录（eval_record）归属 app 租户 + /eval/record/batch 应用签名鉴权","应用签名密钥配置","1.带签名上报评估记录\n2.租户内查看","记录归属 app 所属租户；签名缺失/错误被拒；租户内仅见本租户记录","P0","通过","EvalRecordControllerTest","","","","","","","","","","",""
"090","后端/集成","MCP 集成同步按租户映射落库 + 无映射置全局 + 租户管理员触发","集成平台 MCP 配置完成","1.触发同步\n2.租户管理员触发\n3.检查无映射资源","资源按 ownerTenants 落库；无映射置空（null，仅管理员可见）；租户管理员可触发且响应只报本租户数量","P0","通过","McpSyncServiceImplTest","","","","","","","","","","",""
"091","后端/集成","租户停用/到期后登录与访问拒绝","存在停用/到期租户","1.租户用户登录\n2.停用后再登录","停用/到期租户内用户登录被拒（拦截器校验）；平台管理员仍可进入其他租户","P0","通过","AuthInterceptorTenantTest","","","","","","","","","","",""
"092","后端/集成","凝练子服务（distill-agent）会话/卡模板 tenant_id 正确落库","凝练链路可用","1.新建会话凝练\n2.保存卡模板\n3.重新加载","会话、任务、卡模板均携带创建时租户上下文","P1","通过","distill集成","","","","","","","","","","",""
"093","后端/集成","用户路由按目标用户租户收敛","管理员查询其他租户用户","1.查询目标用户路由","返回目标用户所属租户的路由，不随调用者身份变化","P1","通过","TenantUserServiceImplTest","","","","","","","","","","",""
"094","文档预处理-页面导航","新版文档预处理页仅展示项目、上传解析、知识问答、泛化测试、知识库同步五个工作区","已进入启用文档预处理功能的租户","1.打开文档预处理页
2.依次访问 tab=projects/upload/qa/generalization/sync
3.检查旧版 strategies/review/assets 入口","五个工作区均可正常切换且内容匹配；旧版策略、结果审核、资产导出入口不出现；未知 tab 回退到项目页","P0","通过","待新增：DocumentPreprocessingV2Page 页面导航用例","","","","","","","","","","",""
"095","文档预处理-租户权限","文档预处理菜单和路由受租户功能配置及 DOC_PREPROC 权限控制","准备开启和关闭文档预处理功能的两个租户，并配置不同角色权限","1.分别进入两个租户
2.查看侧边栏
3.直接访问 /document-preprocessing","功能开启且有权限时菜单可见并可访问；关闭或无权限时菜单隐藏，直接访问返回 403 页面","P0","通过","TenantFeatureDrawer.test.tsx / DataInitializer.java","","","","","","","","","","",""
